0, Altura: 260, Velocidade: 100, Pressão: 254
11,2233, Altura: 4940, Velocidade: 3704, Pressão: 254
11,55663, Altura: 5070, Velocidade: 3804, Pressão: 254
11,88997, Altura: 5200, Velocidade: 3904, Pressão: 254
12,2233, Altura: 5330, Velocidade: 4005, Pressão: 254
12,55663, Altura: 5460, Velocidade: 4105, Pressão: 254
12,88997, Altura: 5590, Velocidade: 4205, Pressão: 254
13,2233, Altura: 5720, Velocidade: 4305, Pressão: 254
13,55663, Altura: 5850, Velocidade: 4405, Pressão: 254
13,88997, Altura: 5980, Velocidade: 4505, Pressão: 254
14,2233, Altura: 6110, Velocidade: 4605, Pressão: 254
14,55663, Altura: 6240, Velocidade: 4705, Pressão: 254
14,88997, Altura: 6370, Velocidade: 4806, Pressão: 254
15,2233, Altura: 6500, Velocidade: 4906, Pressão: 254
15,55663, Altura: 6630, Velocidade: 5006, Pressão: 254
15,88997, Altura: 6760, Velocidade: 5106, Pressão: 254
16,2233, Altura: 6890, Velocidade: 5206, Pressão: 254
16,55663, Altura: 7020, Velocidade: 5306, Pressão: 254
16,88997, Altura: 7150, Velocidade: 5406, Pressão: 254
17,2233, Altura: 7280, Velocidade: 5506, Pressão: 254
17,55663, Altura: 7410, Velocidade: 5606, Pressão: 254
17,88997, Altura: 7540, Velocidade: 5707, Pressão: 254
18,2233, Altura: 7670, Velocidade: 5807, Pressão: 254
18,55663, Altura: 7800, Velocidade: 5907, Pressão: 254
18,88997, Altura: 7930, Velocidade: 6007, Pressão: 254
19,2233, Altura: 8060, Velocidade: 6107, Pressão: 254
19,55663, Altura: 8190, Velocidade: 6207, Pressão: 254
19,88997, Altura: 8320, Velocidade: 6307, Pressão: 254
20,2233, Altura: 8450, Velocidade: 6407, Pressão: 254
20,55663, Altura: 8580, Velocidade: 6508, Pressão: 254
20,88997, Altura: 8710, Velocidade: 6608, Pressão: 254
21,2233, Altura: 8840, Velocidade: 6708, Pressão: 254
21,55663, Altura: 8970, Velocidade: 6808, Pressão: 254
21,88997, Altura: 9100, Velocidade: 6908, Pressão: 254
22,2233, Altura: 9230, Velocidade: 7008, Pressão: 254
22,55663, Altura: 9360, Velocidade: 7108, Pressão: 254
22,88997, Altura: 9490, Velocidade: 7208, Pressão: 254
23,2233, Altura: 9620, Velocidade: 7308, Pressão: 254
23,55663, Altura: 9750, Velocidade: 7409, Pressão: 254
23,88997, Altura: 9880, Velocidade: 7509, Pressão: 254
24,2233, Altura: 10010, Velocidade: 7609, Pressão: 254
24,55663, Altura: 10140, Velocidade: 7709, Pressão: 254
24,88997, Altura: 10270, Velocidade: 7809, Pressão: 254
25,2233, Altura: 10400, Velocidade: 7909, Pressão: 254
25,55663, Altura: 10530, Velocidade: 8009, Pressão: 254
25,88997, Altura: 10660, Velocidade: 8109, Pressão: 254
26,2233, Altura: 10790, Velocidade: 8210, Pressão: 254
26,55663, Altura: 10920, Velocidade: 8310, Pressão: 254
26,88997, Altura: 11050, Velocidade: 8410, Pressão: 254
27,2233, Altura: 11180, Velocidade: 8510, Pressão: 254
27,55663, Altura: 11310, Velocidade: 8610, Pressão: 254
27,88997, Altura: 11440, Velocidade: 8710, Pressão: 254
28,2233, Altura: 11570, Velocidade: 8810, Pressão: 254
28,55663, Altura: 11700, Velocidade: 8911, Pressão: 254
28,88997, Altura: 11830, Velocidade: 9011, Pressão: 254
29,2233, Altura: 11960, Velocidade: 9111, Pressão: 254
29,55663, Altura: 12090, Velocidade: 9211, Pressão: 254
29,88997, Altura: 12220, Velocidade: 9311, Pressão: 254
30,2233, Altura: 12350, Velocidade: 9411, Pressão: 254
30,55663, Altura: 12480, Velocidade: 9511, Pressão: 254
30,88997, Altura: 12610, Velocidade: 9611, Pressão: 254
31,2233, Altura: 12740, Velocidade: 9711, Pressão: 254
31,55663, Altura: 12870, Velocidade: 9812, Pressão: 254
31,88997, Altura: 13000, Velocidade: 9912, Pressão: 254
32,2233, Altura: 13130, Velocidade: 10012, Pressão: 254
32,55663, Altura: 13260, Velocidade: 10112, Pressão: 254
32,88997, Altura: 13390, Velocidade: 10212, Pressão: 254
33,2233, Altura: 13520, Velocidade: 10312, Pressão: 254
33,55663, Altura: 13650, Velocidade: 10412, Pressão: 254
33,88997, Altura: 13780, Velocidade: 10512, Pressão: 254
34,2233, Altura: 13910, Velocidade: 10613, Pressão: 254
34,55663, Altura: 14040, Velocidade: 10713, Pressão: 254
34,88997, Altura: 14170, Velocidade: 10813, Pressão: 254
35,2233, Altura: 14300, Velocidade: 10913, Pressão: 254
35,55663, Altura: 14430, Velocidade: 11013, Pressão: 254
35,88997, Altura: 14560, Velocidade: 11113, Pressão: 254
36,2233, Altura: 14690, Velocidade: 11213, Pressão: 254
36,55663, Altura: 14820, Velocidade: 11313, Pressão: 254
36,88997, Altura: 14950, Velocidade: 11414, Pressão: 254
37,2233, Altura: 15080, Velocidade: 11514, Pressão: 254
37,55663, Altura: 15210, Velocidade: 11614, Pressão: 254
37,88997, Altura: 15340, Velocidade: 11714, Pressão: 254
38,2233, Altura: 15470, Velocidade: 11814, Pressão: 254
38,55663, Altura: 15600, Velocidade: 11914, Pressão: 254
38,88997, Altura: 15730, Velocidade: 12014, Pressão: 254
39,2233, Altura: 15860, Velocidade: 12115, Pressão: 254
39,55663, Altura: 15990, Velocidade: 12215, Pressão: 254
39,88997, Altura: 16120, Velocidade: 12315, Pressão: 254
40,2233, Altura: 16250, Velocidade: 12415, Pressão: 254
40,55663, Altura: 16380, Velocidade: 12515, Pressão: 254
40,88997, Altura: 16510, Velocidade: 12615, Pressão: 254
41,2233, Altura: 16640, Velocidade: 12715, Pressão: 254
41,55663, Altura: 16770, Velocidade: 12816, Pressão: 254
41,88997, Altura: 16900, Velocidade: 12916, Pressão: 254
42,2233, Altura: 17030, Velocidade: 13016, Pressão: 254
42,2433, Altura: 17160, Velocidade: 13116, Pressão: 254
42,2633, Altura: 17290, Velocidade: 13216, Pressão: 254
42,59323, Altura: 17420, Velocidade: 13316, Pressão: 254
42,92656, Altura: 17550, Velocidade: 13416, Pressão: 254
43,2599, Altura: 17680, Velocidade: 13516, Pressão: 254
0, Altura: 260, Velocidade: 100, Pressão: 254
0,02, Altura: 390, Velocidade: 200, Pressão: 254
0,3533334, Altura: 520, Velocidade: 300, Pressão: 254
0,3687613, Altura: 650, Velocidade: 400, Pressão: 254
0,4801618, Altura: 780, Velocidade: 501, Pressão: 254
0,8134951, Altura: 910, Velocidade: 601, Pressão: 254
1,146828, Altura: 1040, Velocidade: 701, Pressão: 254
1,480162, Altura: 1170, Velocidade: 801, Pressão: 254
1,813495, Altura: 1300, Velocidade: 901, Pressão: 254
2,146828, Altura: 1430, Velocidade: 1001, Pressão: 254
2,480162, Altura: 1560, Velocidade: 1101, Pressão: 254
2,813495, Altura: 1690, Velocidade: 1201, Pressão: 254
3,146828, Altura: 1820, Velocidade: 1301, Pressão: 254
3,480162, Altura: 1950, Velocidade: 1402, Pressão: 254
3,813495, Altura: 2080, Velocidade: 1502, Pressão: 254
4,146829, Altura: 2210, Velocidade: 1602, Pressão: 254
4,480162, Altura: 2340, Velocidade: 1702, Pressão: 254
4,813495, Altura: 2470, Velocidade: 1802, Pressão: 254
5,146829, Altura: 2600, Velocidade: 1902, Pressão: 254
5,480162, Altura: 2730, Velocidade: 2002, Pressão: 254
5,813495, Altura: 2860, Velocidade: 2102, Pressão: 254
6,146829, Altura: 2990, Velocidade: 2202, Pressão: 254
6,480162, Altura: 3120, Velocidade: 2303, Pressão: 254
6,813495, Altura: 3250, Velocidade: 2403, Pressão: 254
7,146829, Altura: 3380, Velocidade: 2503, Pressão: 254
7,480162, Altura: 3510, Velocidade: 2603, Pressão: 254
7,813495, Altura: 3640, Velocidade: 2703, Pressão: 254
0, Altura: 260, Velocidade: 100, Pressão: 254
0,02, Altura: 390, Velocidade: 200, Pressão: 254
0,3533334, Altura: 520, Velocidade: 300, Pressão: 254
0,371341, Altura: 650, Velocidade: 400, Pressão: 254
0,3858626, Altura: 780, Velocidade: 501, Pressão: 254
0,545957, Altura: 910, Velocidade: 601, Pressão: 254
0,8792904, Altura: 1040, Velocidade: 701, Pressão: 254
1,212624, Altura: 1170, Velocidade: 801, Pressão: 254
1,545957, Altura: 1300, Velocidade: 901, Pressão: 254
1,87929, Altura: 1430, Velocidade: 1001, Pressão: 254
2,212624, Altura: 1560, Velocidade: 1101, Pressão: 254
2,545957, Altura: 1690, Velocidade: 1201, Pressão: 254
2,87929, Altura: 1820, Velocidade: 1301, Pressão: 254
3,212624, Altura: 1950, Velocidade: 1402, Pressão: 254
3,545957, Altura: 2080, Velocidade: 1502, Pressão: 254
3,879291, Altura: 2210, Velocidade: 1602, Pressão: 254
4,212624, Altura: 2340, Velocidade: 1702, Pressão: 254
4,545957, Altura: 2470, Velocidade: 1802, Pressão: 254
4,879291, Altura: 2600, Velocidade: 1902, Pressão: 254
5,212624, Altura: 2730, Velocidade: 2002, Pressão: 254
5,545957, Altura: 2860, Velocidade: 2102, Pressão: 254
5,879291, Altura: 2990, Velocidade: 2202, Pressão: 254
6,212624, Altura: 3120, Velocidade: 2303, Pressão: 254
6,545957, Altura: 3250, Velocidade: 2403, Pressão: 254
6,879291, Altura: 3380, Velocidade: 2503, Pressão: 254
7,212624, Altura: 3510, Velocidade: 2603, Pressão: 254
7,545957, Altura: 3640, Velocidade: 2703, Pressão: 254
7,879291, Altura: 3770, Velocidade: 2803, Pressão: 254
8,212624, Altura: 3900, Velocidade: 2903, Pressão: 254
8,545958, Altura: 4030, Velocidade: 3003, Pressão: 254
8,879291, Altura: 4160, Velocidade: 3103, Pressão: 254
9,212624, Altura: 4290, Velocidade: 3204, Pressão: 254
9,545958, Altura: 4420, Velocidade: 3304, Pressão: 254
9,879291, Altura: 4550, Velocidade: 3404, Pressão: 254
10,21262, Altura: 4680, Velocidade: 3504, Pressão: 254
10,54596, Altura: 4810, Velocidade: 3604, Pressão: 254
10,87929, Altura: 4940, Velocidade: 3704, Pressão: 254
11,21262, Altura: 5070, Velocidade: 3804, Pressão: 254
11,54596, Altura: 5200, Velocidade: 3904, Pressão: 254
11,87929, Altura: 5330, Velocidade: 4005, Pressão: 254
12,21262, Altura: 5460, Velocidade: 4105, Pressão: 254
12,54596, Altura: 5590, Velocidade: 4205, Pressão: 254
12,87929, Altura: 5720, Velocidade: 4305, Pressão: 254
13,21262, Altura: 5850, Velocidade: 4405, Pressão: 254
13,54596, Altura: 5980, Velocidade: 4505, Pressão: 254
13,87929, Altura: 6110, Velocidade: 4605, Pressão: 254
14,21262, Altura: 6240, Velocidade: 4705, Pressão: 254
14,54596, Altura: 6370, Velocidade: 4806, Pressão: 254
14,87929, Altura: 6500, Velocidade: 4906, Pressão: 254
15,21262, Altura: 6630, Velocidade: 5006, Pressão: 254
15,54596, Altura: 6760, Velocidade: 5106, Pressão: 254
15,87929, Altura: 6890, Velocidade: 5206, Pressão: 254
16,21262, Altura: 7020, Velocidade: 5306, Pressão: 254
16,54596, Altura: 7150, Velocidade: 5406, Pressão: 254
16,87929, Altura: 7280, Velocidade: 5506, Pressão: 254
17,21262, Altura: 7410, Velocidade: 5606, Pressão: 254
17,54596, Altura: 7540, Velocidade: 5707, Pressão: 254
17,87929, Altura: 7670, Velocidade: 5807, Pressão: 254
18,21262, Altura: 7800, Velocidade: 5907, Pressão: 254
18,54596, Altura: 7930, Velocidade: 6007, Pressão: 254
18,87929, Altura: 8060, Velocidade: 6107, Pressão: 254
19,21262, Altura: 8190, Velocidade: 6207, Pressão: 254
19,54596, Altura: 8320, Velocidade: 6307, Pressão: 254
19,87929, Altura: 8450, Velocidade: 6407, Pressão: 254
19,89929, Altura: 8580, Velocidade: 6508, Pressão: 254
19,91929, Altura: 8710, Velocidade: 6608, Pressão: 254
20,01736, Altura: 8840, Velocidade: 6708, Pressão: 254
20,03106, Altura: 8970, Velocidade: 6808, Pressão: 254
20,23613, Altura: 9100, Velocidade: 6908, Pressão: 254
20,25256, Altura: 9230, Velocidade: 7008, Pressão: 254
20,26554, Altura: 9360, Velocidade: 7108, Pressão: 254
20,29822, Altura: 9490, Velocidade: 7208, Pressão: 254
20,63155, Altura: 9620, Velocidade: 7308, Pressão: 254
20,96488, Altura: 9750, Velocidade: 7409, Pressão: 254
21,29822, Altura: 9880, Velocidade: 7509, Pressão: 254
21,63155, Altura: 10010, Velocidade: 7609, Pressão: 254
21,96488, Altura: 10140, Velocidade: 7709, Pressão: 254
22,29822, Altura: 10270, Velocidade: 7809, Pressão: 254
22,63155, Altura: 10400, Velocidade: 7909, Pressão: 254
0, Altura: 260, Velocidade: 100, Pressão: 254
0,02, Altura: 390, Velocidade: 200, Pressão: 254
0,3533334, Altura: 520, Velocidade: 300, Pressão: 254
0,368873, Altura: 650, Velocidade: 400, Pressão: 254
0,3793655, Altura: 780, Velocidade: 501, Pressão: 254
0,7126989, Altura: 910, Velocidade: 601, Pressão: 254
1,046032, Altura: 1040, Velocidade: 701, Pressão: 254
1,379366, Altura: 1170, Velocidade: 801, Pressão: 254
1,712699, Altura: 1300, Velocidade: 901, Pressão: 254
2,046032, Altura: 1430, Velocidade: 1001, Pressão: 254
2,379366, Altura: 1560, Velocidade: 1101, Pressão: 254
2,712699, Altura: 1690, Velocidade: 1201, Pressão: 254
3,046032, Altura: 1820, Velocidade: 1301, Pressão: 254
3,066032, Altura: 1950, Velocidade: 1402, Pressão: 254
3,086032, Altura: 2080, Velocidade: 1502, Pressão: 254
3,419366, Altura: 2210, Velocidade: 1602, Pressão: 254
3,436156, Altura: 2340, Velocidade: 1702, Pressão: 254
3,448483, Altura: 2470, Velocidade: 1802, Pressão: 254
3,483259, Altura: 2600, Velocidade: 1902, Pressão: 254
3,512949, Altura: 2730, Velocidade: 2002, Pressão: 254
3,533244, Altura: 2860, Velocidade: 2102, Pressão: 254
3,546942, Altura: 2990, Velocidade: 2202, Pressão: 254
3,564532, Altura: 3120, Velocidade: 2303, Pressão: 254
3,582043, Altura: 3250, Velocidade: 2403, Pressão: 254
3,600873, Altura: 3380, Velocidade: 2503, Pressão: 254
3,622163, Altura: 3510, Velocidade: 2603, Pressão: 254
3,648155, Altura: 3640, Velocidade: 2703, Pressão: 254
3,669039, Altura: 3770, Velocidade: 2803, Pressão: 254
3,691274, Altura: 3900, Velocidade: 2903, Pressão: 254
3,710817, Altura: 4030, Velocidade: 3003, Pressão: 254
3,731, Altura: 4160, Velocidade: 3103, Pressão: 254
3,752778, Altura: 4290, Velocidade: 3204, Pressão: 254
3,770796, Altura: 4420, Velocidade: 3304, Pressão: 254
3,786222, Altura: 4550, Velocidade: 3404, Pressão: 254
3,802394, Altura: 4680, Velocidade: 3504, Pressão: 254
3,818043, Altura: 4810, Velocidade: 3604, Pressão: 254
3,834728, Altura: 4940, Velocidade: 3704, Pressão: 254
3,861946, Altura: 5070, Velocidade: 3804, Pressão: 254
3,878729, Altura: 5200, Velocidade: 3904, Pressão: 254
3,893733, Altura: 5330, Velocidade: 4005, Pressão: 254
3,909152, Altura: 5460, Velocidade: 4105, Pressão: 254
3,93207, Altura: 5590, Velocidade: 4205, Pressão: 254
3,948569, Altura: 5720, Velocidade: 4305, Pressão: 254
3,96429, Altura: 5850, Velocidade: 4405, Pressão: 254
3,982369, Altura: 5980, Velocidade: 4505, Pressão: 254
3,999107, Altura: 6110, Velocidade: 4605, Pressão: 254
4,015975, Altura: 6240, Velocidade: 4705, Pressão: 254
4,032777, Altura: 6370, Velocidade: 4806, Pressão: 254
4,051798, Altura: 6500, Velocidade: 4906, Pressão: 254
4,080019, Altura: 6630, Velocidade: 5006, Pressão: 254
4,09925, Altura: 6760, Velocidade: 5106, Pressão: 254
4,118828, Altura: 6890, Velocidade: 5206, Pressão: 254
4,139617, Altura: 7020, Velocidade: 5306, Pressão: 254
4,157893, Altura: 7150, Velocidade: 5406, Pressão: 254
4,178869, Altura: 7280, Velocidade: 5506, Pressão: 254
4,19851, Altura: 7410, Velocidade: 5606, Pressão: 254
4,218586, Altura: 7540, Velocidade: 5707, Pressão: 254
4,238606, Altura: 7670, Velocidade: 5807, Pressão: 254
4,258016, Altura: 7800, Velocidade: 5907, Pressão: 254
4,279834, Altura: 7930, Velocidade: 6007, Pressão: 254
4,301216, Altura: 8060, Velocidade: 6107, Pressão: 254
4,321866, Altura: 8190, Velocidade: 6207, Pressão: 254
4,34061, Altura: 8320, Velocidade: 6307, Pressão: 254
4,360063, Altura: 8450, Velocidade: 6407, Pressão: 254
4,382235, Altura: 8580, Velocidade: 6508, Pressão: 254
4,403196, Altura: 8710, Velocidade: 6608, Pressão: 254
4,422904, Altura: 8840, Velocidade: 6708, Pressão: 254
4,441887, Altura: 8970, Velocidade: 6808, Pressão: 254
4,459574, Altura: 9100, Velocidade: 6908, Pressão: 254
4,478692, Altura: 9230, Velocidade: 7008, Pressão: 254
4,496454, Altura: 9360, Velocidade: 7108, Pressão: 254
4,511971, Altura: 9490, Velocidade: 7208, Pressão: 254
4,529067, Altura: 9620, Velocidade: 7308, Pressão: 254
4,548716, Altura: 9750, Velocidade: 7409, Pressão: 254
4,568634, Altura: 9880, Velocidade: 7509, Pressão: 254
4,588416, Altura: 10010, Velocidade: 7609, Pressão: 254
4,604421, Altura: 10140, Velocidade: 7709, Pressão: 254
4,622301, Altura: 10270, Velocidade: 7809, Pressão: 254
4,64045, Altura: 10400, Velocidade: 7909, Pressão: 254
4,659337, Altura: 10530, Velocidade: 8009, Pressão: 254
4,681499, Altura: 10660, Velocidade: 8109, Pressão: 254
4,702887, Altura: 10790, Velocidade: 8210, Pressão: 254
4,720654, Altura: 10920, Velocidade: 8310, Pressão: 254
4,739255, Altura: 11050, Velocidade: 8410, Pressão: 254
4,755731, Altura: 11180, Velocidade: 8510, Pressão: 254
4,771328, Altura: 11310, Velocidade: 8610, Pressão: 254
4,789038, Altura: 11440, Velocidade: 8710, Pressão: 254
4,807815, Altura: 11570, Velocidade: 8810, Pressão: 254
4,826937, Altura: 11700, Velocidade: 8911, Pressão: 254
4,843534, Altura: 11830, Velocidade: 9011, Pressão: 254
4,861285, Altura: 11960, Velocidade: 9111, Pressão: 254
4,87738, Altura: 12090, Velocidade: 9211, Pressão: 254
4,892841, Altura: 12220, Velocidade: 9311, Pressão: 254
4,915796, Altura: 12350, Velocidade: 9411, Pressão: 254
4,932648, Altura: 12480, Velocidade: 9511, Pressão: 254
4,948629, Altura: 12610, Velocidade: 9611, Pressão: 254
4,964065, Altura: 12740, Velocidade: 9711, Pressão: 254
4,980544, Altura: 12870, Velocidade: 9812, Pressão: 254
4,996591, Altura: 13000, Velocidade: 9912, Pressão: 254
5,013638, Altura: 13130, Velocidade: 10012, Pressão: 254
5,031836, Altura: 13260, Velocidade: 10112, Pressão: 254
5,049087, Altura: 13390, Velocidade: 10212, Pressão: 254
5,066812, Altura: 13520, Velocidade: 10312, Pressão: 254
5,093258, Altura: 13650, Velocidade: 10412, Pressão: 254
5,113652, Altura: 13780, Velocidade: 10512, Pressão: 254
5,132018, Altura: 13910, Velocidade: 10613, Pressão: 254
5,149556, Altura: 14040, Velocidade: 10713, Pressão: 254
5,167567, Altura: 14170, Velocidade: 10813, Pressão: 254
5,184829, Altura: 14300, Velocidade: 10913, Pressão: 254
5,202062, Altura: 14430, Velocidade: 11013, Pressão: 254
5,219031, Altura: 14560, Velocidade: 11113, Pressão: 254
5,236137, Altura: 14690, Velocidade: 11213, Pressão: 254
5,252048, Altura: 14820, Velocidade: 11313, Pressão: 254
5,269062, Altura: 14950, Velocidade: 11414, Pressão: 254
5,286385, Altura: 15080, Velocidade: 11514, Pressão: 254
5,308446, Altura: 15210, Velocidade: 11614, Pressão: 254
5,328796, Altura: 15340, Velocidade: 11714, Pressão: 254
5,349205, Altura: 15470, Velocidade: 11814, Pressão: 254
5,367717, Altura: 15600, Velocidade: 11914, Pressão: 254
5,385685, Altura: 15730, Velocidade: 12014, Pressão: 254
5,410918, Altura: 15860, Velocidade: 12115, Pressão: 254
5,431239, Altura: 15990, Velocidade: 12215, Pressão: 254
5,45009, Altura: 16120, Velocidade: 12315, Pressão: 254
5,47055, Altura: 16250, Velocidade: 12415, Pressão: 254
5,491016, Altura: 16380, Velocidade: 12515, Pressão: 254
5,510261, Altura: 16510, Velocidade: 12615, Pressão: 254
5,529973, Altura: 16640, Velocidade: 12715, Pressão: 254
5,550565, Altura: 16770, Velocidade: 12816, Pressão: 254
5,572044, Altura: 16900, Velocidade: 12916, Pressão: 254
5,592577, Altura: 17030, Velocidade: 13016, Pressão: 254
5,612831, Altura: 17160, Velocidade: 13116, Pressão: 254
5,631438, Altura: 17290, Velocidade: 13216, Pressão: 254
5,647805, Altura: 17420, Velocidade: 13316, Pressão: 254
5,666971, Altura: 17550, Velocidade: 13416, Pressão: 254
5,687927, Altura: 17680, Velocidade: 13516, Pressão: 254
5,70627, Altura: 17810, Velocidade: 13617, Pressão: 254
5,725658, Altura: 17940, Velocidade: 13717, Pressão: 254
5,746332, Altura: 18070, Velocidade: 13817, Pressão: 254
5,766947, Altura: 18200, Velocidade: 13917, Pressão: 254
5,784767, Altura: 18330, Velocidade: 14017, Pressão: 254
5,808777, Altura: 18460, Velocidade: 14117, Pressão: 254
5,829952, Altura: 18590, Velocidade: 14217, Pressão: 254
5,849408, Altura: 18720, Velocidade: 14317, Pressão: 254
5,867157, Altura: 18850, Velocidade: 14418, Pressão: 254
5,886174, Altura: 18980, Velocidade: 14518, Pressão: 254
5,90527, Altura: 19110, Velocidade: 14618, Pressão: 254
5,923526, Altura: 19240, Velocidade: 14718, Pressão: 254
5,940918, Altura: 19370, Velocidade: 14818, Pressão: 254
5,961701, Altura: 19500, Velocidade: 14918, Pressão: 254
5,981509, Altura: 19630, Velocidade: 15018, Pressão: 254
5,998795, Altura: 19760, Velocidade: 15119, Pressão: 254
6,014569, Altura: 19890, Velocidade: 15219, Pressão: 254
6,032499, Altura: 20020, Velocidade: 15319, Pressão: 254
6,05091, Altura: 20150, Velocidade: 15419, Pressão: 254
6,073282, Altura: 20280, Velocidade: 15519, Pressão: 254
6,095658, Altura: 20410, Velocidade: 15619, Pressão: 254
6,114671, Altura: 20540, Velocidade: 15719, Pressão: 254
6,133935, Altura: 20670, Velocidade: 15819, Pressão: 254
6,151499, Altura: 20800, Velocidade: 15920, Pressão: 254
6,172749, Altura: 20930, Velocidade: 16020, Pressão: 254
6,192839, Altura: 21060, Velocidade: 16120, Pressão: 254
6,210733, Altura: 21190, Velocidade: 16220, Pressão: 254
6,230055, Altura: 21320, Velocidade: 16320, Pressão: 254
6,252832, Altura: 21450, Velocidade: 16420, Pressão: 254
6,272304, Altura: 21580, Velocidade: 16520, Pressão: 254
6,29392, Altura: 21710, Velocidade: 16621, Pressão: 254
6,314775, Altura: 21840, Velocidade: 16721, Pressão: 254
6,334334, Altura: 21970, Velocidade: 16821, Pressão: 254
6,356157, Altura: 22100, Velocidade: 16921, Pressão: 254
6,379698, Altura: 22230, Velocidade: 17021, Pressão: 254
6,398786, Altura: 22360, Velocidade: 17121, Pressão: 254
6,41623, Altura: 22490, Velocidade: 17221, Pressão: 254
6,434292, Altura: 22620, Velocidade: 17321, Pressão: 254
6,452621, Altura: 22750, Velocidade: 17422, Pressão: 254
6,469858, Altura: 22880, Velocidade: 17522, Pressão: 254
6,490737, Altura: 23010, Velocidade: 17622, Pressão: 254
6,509689, Altura: 23140, Velocidade: 17722, Pressão: 254
6,527884, Altura: 23270, Velocidade: 17822, Pressão: 254
6,547009, Altura: 23400, Velocidade: 17922, Pressão: 254
6,568885, Altura: 23530, Velocidade: 18022, Pressão: 254
6,590795, Altura: 23660, Velocidade: 18122, Pressão: 254
6,614316, Altura: 23790, Velocidade: 18223, Pressão: 254
6,635214, Altura: 23920, Velocidade: 18323, Pressão: 254
6,653165, Altura: 24050, Velocidade: 18423, Pressão: 254
6,673656, Altura: 24180, Velocidade: 18523, Pressão: 254
6,695096, Altura: 24310, Velocidade: 18623, Pressão: 254
6,716992, Altura: 24440, Velocidade: 18723, Pressão: 254
6,737178, Altura: 24570, Velocidade: 18823, Pressão: 254
6,766044, Altura: 24700, Velocidade: 18924, Pressão: 254
6,786505, Altura: 24830, Velocidade: 19024, Pressão: 254
6,811234, Altura: 24960, Velocidade: 19124, Pressão: 254
6,832124, Altura: 25090, Velocidade: 19224, Pressão: 254
6,852772, Altura: 25220, Velocidade: 19324, Pressão: 254
6,875153, Altura: 25350, Velocidade: 19424, Pressão: 254
6,896296, Altura: 25480, Velocidade: 19524, Pressão: 254
6,918361, Altura: 25610, Velocidade: 19624, Pressão: 254
6,938376, Altura: 25740, Velocidade: 19724, Pressão: 254
6,957057, Altura: 25870, Velocidade: 19825, Pressão: 254
6,977761, Altura: 26000, Velocidade: 19925, Pressão: 254
6,997698, Altura: 26130, Velocidade: 20025, Pressão: 254
7,019164, Altura: 26260, Velocidade: 20125, Pressão: 254
7,040284, Altura: 26390, Velocidade: 20225, Pressão: 254
7,064252, Altura: 26520, Velocidade: 20325, Pressão: 254
7,086223, Altura: 26650, Velocidade: 20425, Pressão: 254
7,108782, Altura: 26780, Velocidade: 20526, Pressão: 254
7,129834, Altura: 26910, Velocidade: 20626, Pressão: 254
7,15309, Altura: 27040, Velocidade: 20726, Pressão: 254
7,175948, Altura: 27170, Velocidade: 20826, Pressão: 254
7,196956, Altura: 27300, Velocidade: 20926, Pressão: 254
7,216826, Altura: 27430, Velocidade: 21026, Pressão: 254
7,241191, Altura: 27560, Velocidade: 21126, Pressão: 254
